Anio,Aereo,Apa Qui,Autoconsumos,Autoproductores,Autoconsumos Energía,Bunker,Canales Informales,CF Agropecuario,CF Comercial & Publico,CF Construcciones,CF Industrial,Cf No Identi,Cod Energetico,Con Final,Con No Ener,Con Pro Elec,Con Pro Hidro,Con Pro Hid Extr,Con Pro Hid Mer,Coq Rf,Ct Carboneras,Ct Cen Aut Cog,Ct Cen Elo,Ct Cen Hidro,Ct Cen Plabio,Ct Cen Sol,Ct Cen Ter,Ct Cen Trat,Ct Coquerias,Ct Plan Des,Ct Refinerias,Insumos Transformaciòn,Desc Energetico,Exportaciones,Ext Primaria Prod Trans,Ferroviario,Fluvial,Importacion,No Aprovechados,Oferta Interna Bruta,Oferta Int Con Final,Perdidas,Productos Transformacion,Reinyeccion,Sigla,Tipo Energetico,Total Carretero,Transferencias,Unidades Originales,Var Inventario
2015,0,6411413233,69796371,0,69796371,0,0,2008829863,4457494958,3182845271,3999513959,1665759543,18,1943902959,0,69796371,0,0,0,5427692938,0,1795434555,2333222123,1524609499,0,0,725831008,0,0,0,0,0,ENERGÍA ELECTRICA SIN,1569038989,2270727734,3112555163,0,1541946589,0,1943902959,1943902959,2428799609,2270727734,0,EE SIN,Secundario,0,0,GBTU,0
2015,0,0.078257676,0,0,0,0,0,0,0,0,148454811,1157300596,19,1883127496,0,0,0,0,0,6795374848,0,0,0,0,0,0,-1588343874,0,0,0,3004626509,1588343874,Fuel Oil,2131596921,3004626509,0,0,6522777278,0,8795523655,7207166738,0,3004626509,0,FO,Secundario,0,0,TCal,0
2015,0,0.327649237,0,0,0,0,0,0,0,0,6215506026,4845386133,19,7884278199,0,0,0,0,0,2845087541,0,0,0,0,0,0,-6650078131,0,0,0,1257977027,6650078131,Fuel Oil,8924569987,1257977027,0,0,2730956391,0,3682509844,301749657,0,1257977027,0,FO,Secundario,0,0,TJ,0
2015,0,0.091013677,0,0,0,0,0,0,0,0,1726529452,1345940593,19,2190077277,0,0,0,0,0,7903020948,0,0,0,0,0,0,-1847243925,0,0,0,349438063,1847243925,Fuel Oil,2479047219,349438063,0,0,7585989974,0,1022919401,8381934916,0,349438063,0,FO,Secundario,0,0,GWh,0
2015,0,0,1596574969,0,1596574969,0,0,0,0,0,1294979224,0,17,1294979224,0,0,1596574969,0,0,2561255516,0,2891557605,0,0,0,0,0,0,0,0,0,0,AUTO & COGENERACIÓN,0,2891557605,0,0,0,0,1294979224,1294979224,0,2891557605,0,AUT COG,Secundario,0,0,GBTU,0
2015,0,0,0,0,0,0,0,0,0,0,1819846834,0,2,1887323622,0,0,0,0,0,0,0,-1884033244,0,0,0,0,-147299018,0,-233971966,0,0,4001113164,CARBÓN MINERAL,5000150179,5876484952,0,0,1923394131,0,6310834745,2309721581,0,0,0,CM,Primario,0,0,TCal,2452712196
2015,0,0,0,0,0,0,0,0,0,0,7619334725,0,2,790184654,0,0,0,0,0,0,0,-7888070386,0,0,0,0,-6167115284,0,-9795938272,0,0,1675186059,CARBÓN MINERAL,2093462877,2460366.72,0,0,8052866548,0,2642220291,9670342314,0,0,0,CM,Primario,0,0,TJ,1026901542
2015,0,0,0,0,0,0,0,0,0,0,2116481868,0,2,2194957372,0,0,0,0,0,0,0,-2191130663,0,0,0,0,-1713087579,0,-2721093964,0,0,465329461,CARBÓN MINERAL,5815174658,6834351999,0,0,2236907374,0,7339500808,2686206198,0,0,0,CM,Primario,0,0,GWh,2852504284
2015,0,0,0,0,0,0,0,0,0,0,1819846834,0,2,1887323622,0,0,0,0,0,0,0,-1884033244,0,0,0,0,-147299018,0,-233971966,0,0,4001113164,CARBÓN MINERAL,5000150179,5876484952,0,0,0.192339413,0,6310834745,2309721581,0,0,0,CM,Primario,0,0,KTEP,2452712196
2015,0,0,0,0,0,0,0,0,0,0,7221734889,0,2,7489504386,0,0,0,0,0,0,0,-7476447113,0,0,0,0,-5845296633,0,-9284756707,0,0,1587769805,CARBÓN MINERAL,1984219678,2331977373,0,0,7632643715,0,2504341278,9165714724,0,0,0,CM,Primario,0,0,GBTU,9733147266
